"standard_azul_11","exitable_azul_11","exitable_zing_17","standard_zing_17","exitable_temurin_17","standard_temurin_17"
199206450,206955545,163824735,160664334,175883897,175027126
198444780,206668443,165392585,161262797,176250030,179999826
198119725,206428249,164797973,160720118,176533484,215890247
198185820,206749485,164785099,161453258,175581127,292203625
199068188,219972095,163688508,160239258,175426454,284048009
198631603,206660647,164213390,160475755,181239312,174824764
203090472,206407479,164847076,160247814,175288854,174700299
198018905,207365811,163811301,160334919,175922400,174518295
198251404,207229504,165249326,161728498,175787687,174006187
196991853,200933164,164798655,160445167,176330562,179511323
193365408,196448297,165899074,161483794,175864762,173544815
190416994,198923626,167739981,159553969,175696003,173539034
189158605,195020850,167868614,162623962,177846154,172755273
187302687,204430894,164994766,160881292,177251191,172773236
191741628,194273747,165926635,160727872,183470417,173461989
185945322,193544299,168096264,161713818,177390494,172604157
187817790,193518470,171590614,161261551,178365986,173494310
268182949,193933254,170853392,162740592,176822141,173176388
304246331,194436525,171922932,160932086,177089395,173292017
252007171,205163368,170995660,164032839,178145510,179299263
197065641,207419883,171467832,162729511,177207048,174728672
204968131,207159500,171181090,165923851,188692179,174030945
198050925,215638726,229249967,167495948,301222897,174967734
198337617,397888740,254967579,166189222,295261579,175055281
198117771,424528678,171474315,167874395,194719582,174937127
198157025,298810442,164656158,262338783,176888637,175164487
198222448,206795213,165433185,218254921,176480015,174475845
198490355,206827353,163722023,160749741,175590755,174722190
198145242,215406277,165487608,161094041,176080341,179514519
199013375,206816162,164565647,161317975,175009658,278919004
210754238,206677720,164682719,161621550,175298384,292111210
198517606,207845427,165165590,160675137,180533130,218767886
198094758,207150724,165125785,161839163,176048951,173805948
196544888,200369809,164981333,160573986,175675115,173244858
192557149,196616736,164788819,160950268,176382090,174913964
189823612,199166174,163679394,161007356,175849005,174264365
189470945,205322961,164296780,162270167,178648951,179237475
186887553,195606276,163928785,160753876,177488010,173320170
186769698,194259190,164928834,160919128,177708815,172931767
198822954,193320066,164170682,161291063,177891571,173064036
185756583,194038774,165489643,160545260,182648325,173814134
184991718,194699794,163740470,161535885,177874339,173130091
185541657,193802367,165076463,160326474,177965851,173279504
241398266,204621615,164951607,161554271,177370487,174201215
409542486,207873701,165139012,161171746,177528556,174596834
371697416,216665596,165240402,160819268,178121636,179830967
315349458,207179409,164924117,161745392,176664174,175660143
198784993,206847501,163569678,159967434,176747832,175119071
199064991,206567332,164754666,161856812,274002901,174266308
198636161,339209202,163706866,160631802,301574504,174658511
198178065,423692948,166086401,161612259,227372773,174251351
198061904,371839891,164379477,160488280,175143812,174888044
198561179,291120599,164549749,161223963,175440864,174251000
198215545,206346835,164600666,160884850,175402731,175193040
269759738,298357036,164256746,162044987,175099068,175431912
197958219,206714500,164343349,160949833,196063312,264656044
198006990,206753434,164379278,160770924,175197043,291160423
196666016,202261845,166198693,161750109,181038035,270187098
192207607,197409755,163953724,160855584,176054151,173110724
189988934,207402771,165245103,160660344,175565890,173693707
188800557,195358088,164263168,161673403,178333878,174032366
187202867,195437939,164766359,160968607,177199666,173390283
201012533,194221690,164679465,161721073,178072214,178072072
185974255,194215849,164764947,160970221,177842590,172556687
184934749,193852082,164053433,161750428,177492539,173676023
185355585,193725132,166133642,160901610,177801883,173661315
185688334,198090943,164984271,160798725,182422189,172680481
186518093,205455691,163975316,160684909,179607123,174482918
197773109,215785714,168295335,160911248,177623957,173332103
254717653,207115368,167412006,160257810,176564025,176391195
327819741,206929227,166700152,160870050,177077466,175862195
418799433,207245745,166502790,160998212,176929827,174798173
198102822,206745338,165196683,161916971,176538968,179810909
197997322,207085752,168250300,161076069,176963821,174814224
198105928,206802106,172036150,162211980,241881005,174763709
198573151,265859489,171505549,162387802,298968493,174729885
198358074,356954330,171951272,162958704,258864994,174536379
198661728,423482912,170926506,163048093,175569768,174706010
210281293,336650478,171312845,164055199,175408954,174469032
198159368,207419663,170826979,164511755,175552255,174805567
198401417,206700353,204164824,167283714,177177655,174048316
196028711,201396600,287643365,167050522,176467484,179296135
192644503,197774144,169421634,168149152,176131720,290192462
190271338,207538217,163397726,210223035,181667716,291247797
188818962,195023997,165819240,263287731,177681186,205546435
187440256,195276754,165230428,162484685,177667410,172894565
187601230,194119397,164043596,160235514,177661789,172806269
196099325,193444722,165890876,160515816,177305016,173223898
184939097,194656853,165095634,161485511,177270581,173291115
185277568,193706227,165694795,160924658,178617776,178901600
186857293,194696978,164051903,160460910,178524469,173524717
185541216,205133062,165362277,160617015,177110038,173824843
197920156,215614471,164051852,161599436,177136096,173980117
198156603,206942743,164204070,160608730,182166337,174892833
198355328,207643686,164942375,161287064,176878421,174835494
203504613,207244753,163596512,160064118,176464970,174340177
428633452,206513009,165361036,160731451,176496379,174986941
414860826,206991255,164527802,161831334,175989522,175251970
247399178,206684634,164338314,160594342,177198345,180259587
198354376,206799542,164488858,160676406,176072518,174363512
198513958,215270421,166517691,160198962,209470175,175253404
197956014,206893168,166224939,161288326,299682444,174332103
206309955,300851300,163961753,160687316,291376136,174971612
198332866,423173959,165816627,161605515,175833317,174764610
198868709,379931605,164650815,159583366,177231909,174000706
196031726,200972709,168168549,161391269,175973382,173314980
193006417,197421908,166697280,160736089,176080885,174430479
190139848,197860668,164313418,161881268,176437819,173694196
188617451,195328923,164893214,159856401,179150803,242188585
191574440,195130529,164859189,161681567,176740610,291274607
186845982,198535212,164645535,160666586,183051600,258531186
194878656,194962150,165106357,161699273,177021992,172751654
185630164,194033345,164802472,160229648,176983119,173599257
185422150,194128455,163914575,161254599,177276623,172810406
186361325,194778313,164590371,160605079,177491840,173464282
185684626,205965014,164904735,160448612,177485368,173231452
197686173,206839547,165869358,160693035,177049796,180950873
198176961,207423140,167306362,160642188,176917455,175657508
198353615,206633057,165292108,161509290,176804221,174584499
198508819,206725752,164267912,160425778,181580903,175442682
198582899,206648857,164882945,160929032,176087378,175273522
207247728,207743306,164556708,160904023,176074393,175278862
369016835,207643757,166202118,161785462,176303005,175487937
416227629,206714170,163666939,160536227,175149686,174564982
297822575,207820851,165379543,161489172,175500789,174834492
198331804,206967670,164892383,160597853,175494398,179777916
198210384,206869423,165396265,160969035,177940086,174573999
206957479,206975635,166216735,161585372,299113060,174961713
200776545,204915160,167483617,160634361,294494869,174999013
194492817,200760870,166842578,161058645,204749851,174060118
191100774,198386011,166469232,160923299,176164694,173908562
189886479,197962411,167942335,161707413,176171768,174054026
188005123,195881909,171873510,160728149,177177577,174083512
186506570,194779244,173305964,162151274,178044736,173059437
185653297,194330116,173443976,161871804,177730311,189249459
184973542,194261567,173482629,163254042,177326589,291020126
192941635,194193939,172589192,163119336,182389160,290211327
184308835,194463038,171902165,164485193,177057541,193792667
184751662,193648808,190580784,167222757,178034546,173714544
184374248,206068680,303137117,167770664,177030770,173165828
196724495,207098096,169082599,166827388,177640692,173599447
197330480,207218664,166098933,166799465,177501600,174572066
197311193,207213694,165039773,312716892,177421478,179407066
197641489,206941901,164688209,164947948,176210491,174849900
198100476,206806125,164915228,160798949,176312634,176312726
206762049,206984813,163992967,160655849,181317066,174770290
198176159,206253000,165394744,160458384,176601720,174658990
198174996,207783582,164481809,161810946,176540455,175754501
317445888,206720723,165390216,160464015,175627200,174684900
414494422,206845689,164466140,161564881,175282388,176713753
347988574,207242670,165404132,160724026,176121985,174853267
198839583,207519683,165342836,160357723,175410911,179772285
208925308,204496861,165382401,160660546,175866953,174748119
194210122,200552626,164234494,160609619,264731607,174272980
191155547,198927965,165085560,161682662,299233400,174362088
190081838,196865227,164862630,160628535,236975135,174053766
190166858,195162208,164414703,160725288,177769386,173839020
187121752,194438992,165256774,160935075,177556544,173405831
186711376,193825853,165167426,161566350,178186594,173403487
185526808,194036502,164758474,160629967,177156288,172892601
185186653,198145797,164292012,161704773,177168221,172514036
196151491,193578767,163928847,160412555,177621406,255153932
